Programs Name,Clients Unique Identifier,Clients First Name,Clients Last Name,Services Service Added Date,Services Start Date Date,Services Service Reporting Period Start Date,Services Service Reporting Period End Date,Services Service Category,Services Name,Services User Creating,Services Type Provided,Service Items Service Item Name,Services Services Notes
MHRT,C1001,Alex,Sample,2026-05-02,2026-05-02,2026-05-01,2026-05-31,Basic Needs,Outreach Service,Cory Stapleton,Provided,Food,Food kit provided
MHRT,C1001,Alex,Sample,2026-05-03,2026-05-02,2026-05-01,2026-05-31,Basic Needs,Outreach Service,Cory Stapleton,Provided,Food,Food kit provided
MHRT,C1002,Bailey,Sample,2026-05-03,2026-05-03,2026-05-01,2026-05-31,Referral,Outreach Service,Cory Stapleton,Provided,Shelter Referral,Referred to shelter
MHRT,C1003,Casey,Sample,2026-05-04,2026-05-04,2026-05-01,2026-05-31,Basic Needs,Outreach Service,Derek Ramey,Provided,Transportation,Bus pass provided
MHRT,C1004,Drew,Sample,2026-05-05,2026-05-05,2026-05-01,2026-05-31,Referral,Outreach Service,Derek Ramey,Provided,Shelter Referral,Referred to bridge shelter
MHRT,C1005,Emery,Sample,2026-05-06,2026-05-06,2026-05-01,2026-05-31,Basic Needs,Outreach Service,Erin Smith,Provided,Hygiene,Hygiene kit provided
MHRT,C1006,Finley,Sample,2026-05-07,2026-05-07,2026-05-01,2026-05-31,Referral,Outreach Service,Indigo Curtis,Provided,Shelter Referral,Shelter referral completed
MHRT,C1007,Gray,Sample,2026-05-08,2026-05-08,2026-05-01,2026-05-31,Basic Needs,Outreach Service,Nathalie Ellis,Provided,Food,Meal provided
MHRT,C1008,Harper,Sample,2026-05-09,2026-05-09,2026-05-01,2026-05-31,Basic Needs,Outreach Service,Silvia Contreras,Provided,Transportation,Transportation assistance
MHRT,C1009,Jordan,Sample,2026-05-10,2026-05-10,2026-05-01,2026-05-31,Referral,Outreach Service,Silvia Contreras,Provided,Shelter Referral,Referred to emergency shelter
MHRT,C1010,Kai,Sample,2026-05-11,2026-05-11,2026-05-01,2026-05-31,Basic Needs,Outreach Service,Tapio Taina Jr.,Provided,Food,Food assistance
MHRT,C1011,Logan,Sample,2026-05-12,2026-05-12,2026-05-01,2026-05-31,Referral,Outreach Service,Mick Simpson,Provided,Shelter Referral,Referred to shelter
